"","age","e","u","ue","eu","ee"
"factor(age)18",18,0.415694403748259,0.083366321684771,0.289868682379003,0.0450788985648644,0.0563003139404055
"factor(age)19",19,0.51490302222652,0.0850006398912927,0.309799689185264,0.0437654598299819,0.0555262220708404
"factor(age)20",20,0.582713506574346,0.0792121663912927,0.325568045966464,0.0427212566873135,0.0515859452121447
"factor(age)21",21,0.624515864183042,0.0724849486521623,0.334366968680616,0.0365611044378575,0.0478531149947533
"factor(age)22",22,0.671463908530867,0.0719890275869449,0.337946524387952,0.0346394698628004,0.0431712422230142
"factor(age)23",23,0.718417739074346,0.0661378139891187,0.346046831858667,0.0311882500743559,0.039231429277362
"factor(age)24",24,0.743366486791737,0.0616189206739014,0.328959320372832,0.0269873950586225,0.0358242993208402
"factor(age)25",25,0.756216398313476,0.0569001321630318,0.33400489899905,0.0253386236484633,0.0326729033860576
"factor(age)26",26,0.770686645596085,0.053353601782597,0.31358939317074,0.0222530338395602,0.0302086837664924
"factor(age)27",27,0.776509642769998,0.0504328322717275,0.323632134191576,0.0205895344426763,0.0280169175491011
"factor(age)28",28,0.78405259722652,0.0488900983369449,0.321530728773457,0.0204889495167612,0.0267437402664924
"factor(age)29",29,0.78514133548739,0.0467966345543362,0.302147237971173,0.0184142089686982,0.025477203277362
"factor(age)30",30,0.786297867878694,0.0449781684565101,0.319240806670936,0.0185337548960049,0.0244604747882315
"factor(age)31",31,0.78982247222652,0.0434451642173797,0.322694650205449,0.018644779379843,0.0225255153208402
"factor(age)32",32,0.787085606683042,0.041880320032597,0.313155381155902,0.0173430737628256,0.0227911493643185
"factor(age)33",33,0.789117251900433,0.0415271877499883,0.319749223005999,0.0172165678869948,0.0225213338425794
"factor(age)34",34,0.790354567335215,0.0411895968152057,0.297908733721839,0.0166953986982898,0.0222774499947533
"factor(age)35",35,0.791057564509129,0.0391569935869448,0.313619591083475,0.0165719358729584,0.0217189185925794
"factor(age)36",36,0.793632924291738,0.0393348884782492,0.311534897540951,0.0160827071027164,0.0212926148751881
"factor(age)37",37,0.794570691791737,0.0388940064239014,0.300751942224099,0.01574411330433,0.0206181330382316
"factor(age)38",38,0.797197309835216,0.0382967806304231,0.306396386214914,0.0156836998826976,0.0201430909980142
"factor(age)39",39,0.801369842661303,0.0369421893912927,0.313236885424193,0.0153292537488817,0.0200479269295359
"factor(age)40",40,0.802140410378694,0.0361081108478144,0.29786691393653,0.0147283793707943,0.0192606629186664
"factor(age)41",41,0.803500971248259,0.0361821525108579,0.312728918193377,0.0150642985442603,0.0193543937936663
"factor(age)42",42,0.80503619146565,0.0361807842717274,0.303512803896238,0.0146338123881889,0.0185630851034489
"factor(age)43",43,0.803437647009129,0.0363530172282492,0.289496617542753,0.0137878284914787,0.0184167656577968
"factor(age)44",44,0.804582602117824,0.0348982986739014,0.296680626156705,0.0137782539669707,0.0185533089404055
"factor(age)45",45,0.803333187987389,0.0340842369782492,0.300052236344967,0.0139472564613416,0.019029433201275
"factor(age)46",46,0.802257304291737,0.0346261183912927,0.281615728262761,0.0133038174022594,0.0180879130164924
"factor(age)47",47,0.798497678856955,0.0334165965434666,0.284288105216524,0.0127723466245773,0.0171395268425794
"factor(age)48",48,0.795880627009129,0.0325166271739014,0.298181424103796,0.012795407321291,0.0174464970697533
"factor(age)49",49,0.790787281248259,0.0332210011304231,0.28603432323768,0.0126689795458525,0.0175502796143185
"factor(age)50",50,0.78334913896565,0.032519630108684,0.27133166873204,0.0119524474175693,0.0175972555925794
"factor(age)51",51,0.773816970596085,0.0323499410652057,0.263686286777518,0.0119758963584632,0.0167110055708403
"factor(age)52",52,0.766257030596085,0.0316665251739014,0.267734780225876,0.0118902030125059,0.0171276524295359
"factor(age)53",53,0.758405834183042,0.0307809083478144,0.274153172327407,0.0118703210140911,0.0173733371360577
"factor(age)54",54,0.745306174509128,0.0305162292282492,0.272002311307917,0.0121173239869619,0.0170698053001881
"factor(age)55",55,0.726154987661302,0.0297235567173797,0.264868237487903,0.0112447382870215,0.0174588846827968
"factor(age)56",56,0.705831197769998,0.0286781024673797,0.258343121539959,0.0108874312677146,0.0177320433643185
"factor(age)57",57,0.687133305052607,0.0278854423478144,0.262167275858769,0.0110074826285206,0.016677959876275
"factor(age)58",58,0.665240661791738,0.027352579608684,0.254914253048073,0.0115856038244377,0.0168397114382316
"factor(age)59",59,0.640292798856954,0.0262861257489014,0.255289673525791,0.0111660030547896,0.0171503828469272
"factor(age)60",60,0.601677374291737,0.0259234315304231,0.233614134976915,0.0105711918593825,0.0169200013599707
"factor(age)61",61,0.566928035487389,0.0242067730543362,0.252818167123291,0.0110619529006625,0.0171639014730142
"factor(age)62",62,0.494852026030868,0.0190201880695535,0.219602635197644,0.00969471212082739,0.0175808092480142
"factor(age)63",63,0.438450270704781,0.0181539069108579,0.236642677113797,0.0117060510240171,0.0175783324480142
"factor(age)64",64,0.39699825972652,0.0165950200597709,0.236719031015057,0.0106404154930364,0.0180837823588837
