"","tenure","eu","ee"
"factor(tenure)0",0,0.0308350336413432,0.0422369891540122
"factor(tenure)1",1,0.0151590013080099,0.0253965760706789
"factor(tenure)2",2,0.0122058730496766,0.0246411300706789
"factor(tenure)3",3,0.0108196277080099,0.0206331320706789
"factor(tenure)4",4,0.0100837353663432,0.0194369219873456
"factor(tenure)5",5,0.00815941898300991,0.0169282194873456
"factor(tenure)6",6,0.00626408735800991,0.0164145590706789
"factor(tenure)7",7,0.00664732632467657,0.0156683503206789
"factor(tenure)8",8,0.00595903890800991,0.0163873363206789
"factor(tenure)9",9,0.00344636626634324,0.0127253171373456
"factor(tenure)10",10,0.00556458994134324,0.0145582090706789
"factor(tenure)11",11,0.00469953890300991,0.00810975273484557
"factor(tenure)12",12,0.00546095489050991,0.0130157808623456
"factor(tenure)13",13,0.00294975521300991,0.0112948842873456
"factor(tenure)14",14,0.00292152840800991,0.0112234519540122
"factor(tenure)15",15,0.00557758369134324,0.0135854001040122
"factor(tenure)16",16,0.00294570310884324,0.0109852922623456
"factor(tenure)17",17,0.00254320222884324,0.0137943777873456
"factor(tenure)18",18,0.00265744472550991,0.0143868515290122
"factor(tenure)19",19,0.00237500559134324,0.0103944611373456
"factor(tenure)20",20,0.00573257570800991,0.0121498242373456
"factor(tenure)21",21,0.00282386276550991,0.0078487592456789
"factor(tenure)22",22,0.00298677544967657,0.0112471391040122
"factor(tenure)23",23,0.00364094012467657,0.0108058068040122
"factor(tenure)24",24,0.00367975875800991,0.0121980948040122
"factor(tenure)25",25,0.00306744925800991,0.0127496624373456
