date,tenure,eu,en,ee
1996m3,0,.031123854,.063216053,.050564539
1996m3,1,.010956148,.027242431,.026980303
1996m3,2,.011458667,.028585361,.022917816
1996m3,3,.01262341,.024430985,.021464288
1996m3,4,.0095765572,.026156561,.017895572
1996m3,5,.0074035102,.014925435,.022914428
1996m3,6,.0057023885,.016322302,.016185189
1996m3,7,.0048224744,.015145077,.02067687
1996m3,8,.0063593169,.018850986,.020278536
1996m3,9,.0013021444,.0046400591,.01363444
1996m3,10,.0080783805,.017951313,.016114356
1996m3,11,.0097041931,.020670041,.016118238
1996m3,12,.0027225262,.0098125739,.021447517
1996m3,13,.00038371768,.011127432,.0074399957
1996m3,14,.0029362529,.0089258505,.0094432775
1996m3,15,.0079693366,.017565895,.014372254
1996m3,16,0,.0081800893,.019233955
1996m3,17,.0062458375,.01729501,.012915628
1996m3,18,.003891519,.0085553285,.019819645
1996m3,19,0,.0094204992,.020603841
1996m3,20,.0042145434,.017132504,.011373136
1996m3,21,.0014288636,.02687975,.0016028081
1996m3,22,.0077429782,.0077429782,.0043961667
1996m3,23,.0094599361,.01601905,.013699464
1996m3,24,.004896766,.022850173,.012564672
1996m3,25,.0027087422,.0087329205,.011020735
1996m3,26,.0047701239,.011324958,.013386938
1996m3,27,0,.00074151898,.016278949
1996m3,28,.007440831,.027113894,0
1996m3,29,0,.0091813272,.024905212
1996m3,30,0,.016420309,.025692595
1996m3,31,0,.0016485808,.023154324
1996m3,32,.0037746709,.0060806768,.012488496
1996m3,33,.024918348,.041393921,.019756347
1996m3,34,0,0,.027132114
1996m3,35,0,.0099968938,.03130053
1996m3,36,0,.032879081,.036222462
1996m3,37,0,.082489029,0
1996m3,38,.02131697,.035089362,0
1996m3,39,0,0,0
1996m3,40,0,0,0
1996m3,41,0,.017801229,0
1996m3,42,0,.1009348,0
1996m3,43,0,.15169296,0
1996m3,44,0,0,0
1996m3,45,0,.069683619,.077183813
1996m3,46,0,0,0
1996m3,47,0,.36610588,0
1996m3,48,0,.85399163,0
1996m3,49,0,0,0
1996m3,50,0,0,0
1996m3,51,0,0,0
1996m3,52,0,0,0
1996m3,,,,
1998m3,0,.029023526,.062001392,.046869047
1998m3,1,.011544242,.024284704,.031566143
1998m3,2,.014268148,.030908512,.033991884
1998m3,3,.0071931886,.028961834,.021413384
1998m3,4,.011231025,.022197213,.020662701
1998m3,5,.010484089,.024015296,.018495001
1998m3,6,.0062682112,.016499193,.020107249
1998m3,7,.005672283,.012215512,.010760016
1998m3,8,.0041673267,.013020142,.014886787
1998m3,9,.0034286389,.0083025508,.012284472
1998m3,10,.0028035769,.014821501,.021647738
1998m3,11,.002051793,.0095268004,.0084240185
1998m3,12,.0057358067,.017779946,.012241588
1998m3,13,.0048372624,.0076976912,.0098220035
1998m3,14,.0037434699,.010452679,.008850161
1998m3,15,.0010688208,.012236661,.017444532
1998m3,16,0,.015293453,.0097029656
1998m3,17,0,.0085351886,.0070876614
