date,year,quarter,duration,ue
1995q4,1995,4,0,.39833212
1996q1,1996,1,0,.39279976
1996q2,1996,2,0,.38004732
1996q3,1996,3,0,.41851696
1996q4,1996,4,0,.40369141
1997q1,1997,1,0,.41059926
1997q2,1997,2,0,.4219282
1997q3,1997,3,0,.40049255
1997q4,1997,4,0,.43215206
1998q1,1998,1,0,.4052369
1998q2,1998,2,0,.4307574
1998q3,1998,3,0,.41794693
1998q4,1998,4,0,.41379339
1999q1,1999,1,0,.43059334
1999q2,1999,2,0,.41393766
1999q3,1999,3,0,.42642713
1999q4,1999,4,0,.44545192
2000q1,2000,1,0,.42350358
2000q2,2000,2,0,.4176904
2000q3,2000,3,0,.4301458
2000q4,2000,4,0,.41874677
2001q1,2001,1,0,.42709702
2001q2,2001,2,0,.42565048
2001q3,2001,3,0,.41018897
2001q4,2001,4,0,.37433565
2002q1,2002,1,0,.37040973
2002q2,2002,2,0,.35333386
2002q3,2002,3,0,.37233666
2002q4,2002,4,0,.35148519
2003q1,2003,1,0,.33252868
2003q2,2003,2,0,.36741048
2003q3,2003,3,0,.35974568
2003q4,2003,4,0,.36760744
2004q1,2004,1,0,.3547416
2004q2,2004,2,0,.36463687
2004q3,2004,3,0,.40130892
2004q4,2004,4,0,.38272896
2005q1,2005,1,0,.37394494
2005q2,2005,2,0,.36066797
2005q3,2005,3,0,.36984819
2005q4,2005,4,0,.38995773
2006q1,2006,1,0,.40948868
2006q2,2006,2,0,.38056067
2006q3,2006,3,0,.40075624
2006q4,2006,4,0,.40242147
2007q1,2007,1,0,.42088926
2007q2,2007,2,0,.3819623
2007q3,2007,3,0,.37546635
2007q4,2007,4,0,.40025404
2008q1,2008,1,0,.39501891
2008q2,2008,2,0,.36651766
2008q3,2008,3,0,.35252166
2008q4,2008,4,0,.34179798
2009q1,2009,1,0,.30097196
2009q2,2009,2,0,.30558449
2009q3,2009,3,0,.31947818
2009q4,2009,4,0,.3278566
2010q1,2010,1,0,.33311266
2010q2,2010,2,0,.33035663
2010q3,2010,3,0,.32415006
2010q4,2010,4,0,.31859779
2011q1,2011,1,0,.33408338
2011q2,2011,2,0,.33185059
2011q3,2011,3,0,.31330702
2011q4,2011,4,0,.34003228
2012q1,2012,1,0,.34924084
2012q2,2012,2,0,.33140713
2012q3,2012,3,0,.32709828
2012q4,2012,4,0,.29736251
2013q1,2013,1,0,.34608069
2013q2,2013,2,0,.3334952
2013q3,2013,3,0,.34285942
2013q4,2013,4,0,.35731879
2014q1,2014,1,0,.36658069
2014q2,2014,2,0,.38089198
2014q3,2014,3,0,.35801393
2014q4,2014,4,0,.37457681
2015q1,2015,1,0,.3703495
2015q2,2015,2,0,.37803176
2015q3,2015,3,0,.35360569
2015q4,2015,4,0,.38580254
2016q1,2016,1,0,.35955518
2016q2,2016,2,0,.37346327
2016q3,2016,3,0,.3555299
2016q4,2016,4,0,.36650965
2017q1,2017,1,0,.38113528
2017q2,2017,2,0,.39887199
2017q3,2017,3,0,.39964774
2017q4,2017,4,0,.38814896
2018q1,2018,1,0,.38858056
2018q2,2018,2,0,.39793625
2018q3,2018,3,0,.40469337
2018q4,2018,4,0,.38870606
1995q4,1995,4,1,.26220775
1996q1,1996,1,1,.30482551
1996q2,1996,2,1,.28006029
1996q3,1996,3,1,.24904749
1996q4,1996,4,1,.29190576
1997q1,1997,1,1,.31829205
1997q2,1997,2,1,.32271647
1997q3,1997,3,1,.26815403
1997q4,1997,4,1,.31699115
1998q1,1998,1,1,.31858477
1998q2,1998,2,1,.30424216
1998q3,1998,3,1,.29405314
1998q4,1998,4,1,.33429685
1999q1,1999,1,1,.28499031
1999q2,1999,2,1,.32338274
1999q3,1999,3,1,.31238994
1999q4,1999,4,1,.29761165
2000q1,2000,1,1,.3599835
2000q2,2000,2,1,.29929143
2000q3,2000,3,1,.2985526
2000q4,2000,4,1,.29229912
2001q1,2001,1,1,.3198882
2001q2,2001,2,1,.32413805
2001q3,2001,3,1,.28038815
2001q4,2001,4,1,.29613155
2002q1,2002,1,1,.28491944
2002q2,2002,2,1,.24303995
2002q3,2002,3,1,.25721133
2002q4,2002,4,1,.25946093
2003q1,2003,1,1,.26010805
2003q2,2003,2,1,.25616488
2003q3,2003,3,1,.25510329
2003q4,2003,4,1,.26212817
2004q1,2004,1,1,.26738119
2004q2,2004,2,1,.26130015
2004q3,2004,3,1,.28510997
2004q4,2004,4,1,.28821394
2005q1,2005,1,1,.29034063
2005q2,2005,2,1,.25779632
2005q3,2005,3,1,.27209869
2005q4,2005,4,1,.26038429
2006q1,2006,1,1,.26901215
2006q2,2006,2,1,.29609343
2006q3,2006,3,1,.30557218
2006q4,2006,4,1,.2984671
2007q1,2007,1,1,.31034562
2007q2,2007,2,1,.27961206
2007q3,2007,3,1,.29387981
2007q4,2007,4,1,.27848125
2008q1,2008,1,1,.26425153
2008q2,2008,2,1,.26924101
2008q3,2008,3,1,.26099002
2008q4,2008,4,1,.25330418
2009q1,2009,1,1,.20557868
2009q2,2009,2,1,.20961618
2009q3,2009,3,1,.22172518
2009q4,2009,4,1,.20300363
2010q1,2010,1,1,.20891026
2010q2,2010,2,1,.23833044
2010q3,2010,3,1,.20782493
2010q4,2010,4,1,.22465003
2011q1,2011,1,1,.21862912
2011q2,2011,2,1,.22265393
2011q3,2011,3,1,.21903551
2011q4,2011,4,1,.19534762
2012q1,2012,1,1,.22513312
2012q2,2012,2,1,.22874136
2012q3,2012,3,1,.22145455
2012q4,2012,4,1,.20139523
2013q1,2013,1,1,.2158929
2013q2,2013,2,1,.2419886
2013q3,2013,3,1,.23712401
2013q4,2013,4,1,.24357611
2014q1,2014,1,1,.24013939
2014q2,2014,2,1,.24188757
2014q3,2014,3,1,.24622984
2014q4,2014,4,1,.2918222
2015q1,2015,1,1,.25139701
2015q2,2015,2,1,.28041074
2015q3,2015,3,1,.28354791
2015q4,2015,4,1,.27254385
2016q1,2016,1,1,.23828192
2016q2,2016,2,1,.26324335
2016q3,2016,3,1,.29063928
2016q4,2016,4,1,.26898152
2017q1,2017,1,1,.28175968
2017q2,2017,2,1,.2688989
2017q3,2017,3,1,.28149125
2017q4,2017,4,1,.27975875
2018q1,2018,1,1,.30272144
2018q2,2018,2,1,.23685616
2018q3,2018,3,1,.30208233
2018q4,2018,4,1,.29586199
1995q4,1995,4,2,.26358303
1996q1,1996,1,2,.25474983
1996q2,1996,2,2,.27633476
1996q3,1996,3,2,.24570295
1996q4,1996,4,2,.2621274
1997q1,1997,1,2,.26733693
1997q2,1997,2,2,.24465378
1997q3,1997,3,2,.26957175
1997q4,1997,4,2,.27734536
1998q1,1998,1,2,.26167768
1998q2,1998,2,2,.29014432
1998q3,1998,3,2,.27029103
1998q4,1998,4,2,.27974635
1999q1,1999,1,2,.30979705
1999q2,1999,2,2,.23824906
1999q3,1999,3,2,.29111794
1999q4,1999,4,2,.29842845
2000q1,2000,1,2,.33239803
2000q2,2000,2,2,.28183827
2000q3,2000,3,2,.24946915
2000q4,2000,4,2,.31455147
2001q1,2001,1,2,.26126689
2001q2,2001,2,2,.27908242
2001q3,2001,3,2,.24248825
2001q4,2001,4,2,.27008793
2002q1,2002,1,2,.24191703
2002q2,2002,2,2,.22612973
2002q3,2002,3,2,.24713309
2002q4,2002,4,2,.22583105
2003q1,2003,1,2,.21270238
2003q2,2003,2,2,.20694773
2003q3,2003,3,2,.23627219
2003q4,2003,4,2,.25106403
2004q1,2004,1,2,.2348913
2004q2,2004,2,2,.23843975
2004q3,2004,3,2,.2350021
2004q4,2004,4,2,.26248395
2005q1,2005,1,2,.22400819
2005q2,2005,2,2,.26784995
2005q3,2005,3,2,.2361781
2005q4,2005,4,2,.22443174
2006q1,2006,1,2,.23578613
2006q2,2006,2,2,.25038698
2006q3,2006,3,2,.23286858
2006q4,2006,4,2,.2957916
2007q1,2007,1,2,.28435421
2007q2,2007,2,2,.25295743
2007q3,2007,3,2,.24263281
2007q4,2007,4,2,.22485386
2008q1,2008,1,2,.25786409
2008q2,2008,2,2,.26720795
2008q3,2008,3,2,.23231602
2008q4,2008,4,2,.18801953
2009q1,2009,1,2,.18169424
2009q2,2009,2,2,.16373992
2009q3,2009,3,2,.18318686
2009q4,2009,4,2,.1840739
2010q1,2010,1,2,.19133355
2010q2,2010,2,2,.18295792
2010q3,2010,3,2,.21328977
2010q4,2010,4,2,.22011398
2011q1,2011,1,2,.19017096
2011q2,2011,2,2,.21827275
2011q3,2011,3,2,.20669742
2011q4,2011,4,2,.18177718
2012q1,2012,1,2,.21325217
2012q2,2012,2,2,.20966646
2012q3,2012,3,2,.23283128
2012q4,2012,4,2,.1897943
2013q1,2013,1,2,.20223482
2013q2,2013,2,2,.20726936
2013q3,2013,3,2,.21650468
2013q4,2013,4,2,.18061329
2014q1,2014,1,2,.23257455
2014q2,2014,2,2,.23203893
2014q3,2014,3,2,.21519595
2014q4,2014,4,2,.24314825
2015q1,2015,1,2,.22090812
2015q2,2015,2,2,.21260841
2015q3,2015,3,2,.22661252
2015q4,2015,4,2,.28205729
2016q1,2016,1,2,.23350979
2016q2,2016,2,2,.23709171
2016q3,2016,3,2,.20016177
2016q4,2016,4,2,.23347591
2017q1,2017,1,2,.26989251
2017q2,2017,2,2,.27033395
2017q3,2017,3,2,.278642
2017q4,2017,4,2,.22594945
2018q1,2018,1,2,.25842413
2018q2,2018,2,2,.24831365
2018q3,2018,3,2,.27330238
2018q4,2018,4,2,.245426
1995q4,1995,4,3,.20483314
1996q1,1996,1,3,.15461476
1996q2,1996,2,3,.2445821
1996q3,1996,3,3,.25649247
1996q4,1996,4,3,.24418287
1997q1,1997,1,3,.21680813
1997q2,1997,2,3,.23570669
1997q3,1997,3,3,.21484844
1997q4,1997,4,3,.24022017
1998q1,1998,1,3,.25406936
1998q2,1998,2,3,.21333295
1998q3,1998,3,3,.28517291
1998q4,1998,4,3,.25240853
1999q1,1999,1,3,.25728303
1999q2,1999,2,3,.24024881
1999q3,1999,3,3,.21496007
1999q4,1999,4,3,.28823873
2000q1,2000,1,3,.25998744
2000q2,2000,2,3,.23331134
2000q3,2000,3,3,.23823074
2000q4,2000,4,3,.24439429
2001q1,2001,1,3,.2208007
2001q2,2001,2,3,.22328877
2001q3,2001,3,3,.1949275
2001q4,2001,4,3,.22200377
2002q1,2002,1,3,.2248987
2002q2,2002,2,3,.20968363
2002q3,2002,3,3,.2140851
2002q4,2002,4,3,.22706574
2003q1,2003,1,3,.19500804
2003q2,2003,2,3,.22118038
2003q3,2003,3,3,.19517589
2003q4,2003,4,3,.23085256
2004q1,2004,1,3,.18669656
2004q2,2004,2,3,.21192844
2004q3,2004,3,3,.24338581
2004q4,2004,4,3,.20192383
2005q1,2005,1,3,.21132764
2005q2,2005,2,3,.25999135
2005q3,2005,3,3,.24663652
2005q4,2005,4,3,.2322911
2006q1,2006,1,3,.2433212
2006q2,2006,2,3,.22452958
2006q3,2006,3,3,.23898034
2006q4,2006,4,3,.26275533
2007q1,2007,1,3,.24881385
2007q2,2007,2,3,.1949656
2007q3,2007,3,3,.21899226
2007q4,2007,4,3,.24820805
2008q1,2008,1,3,.22438985
2008q2,2008,2,3,.20283611
2008q3,2008,3,3,.17787905
2008q4,2008,4,3,.17892863
2009q1,2009,1,3,.15389954
2009q2,2009,2,3,.15159224
2009q3,2009,3,3,.14372911
2009q4,2009,4,3,.14519188
2010q1,2010,1,3,.15930556
2010q2,2010,2,3,.17725125
2010q3,2010,3,3,.16556458
2010q4,2010,4,3,.18029246
2011q1,2011,1,3,.16335247
2011q2,2011,2,3,.16590127
2011q3,2011,3,3,.16391687
2011q4,2011,4,3,.18464574
2012q1,2012,1,3,.19563244
2012q2,2012,2,3,.18282558
2012q3,2012,3,3,.16644877
2012q4,2012,4,3,.18697019
2013q1,2013,1,3,.20901363
2013q2,2013,2,3,.17544931
2013q3,2013,3,3,.16506946
2013q4,2013,4,3,.1546206
2014q1,2014,1,3,.21161135
2014q2,2014,2,3,.19006717
2014q3,2014,3,3,.18404876
2014q4,2014,4,3,.20654029
2015q1,2015,1,3,.2391182
2015q2,2015,2,3,.22640015
2015q3,2015,3,3,.25884205
2015q4,2015,4,3,.16332397
2016q1,2016,1,3,.17815749
2016q2,2016,2,3,.22160979
2016q3,2016,3,3,.21343333
2016q4,2016,4,3,.19201566
2017q1,2017,1,3,.22683112
2017q2,2017,2,3,.24849136
2017q3,2017,3,3,.25422567
2017q4,2017,4,3,.27048191
2018q1,2018,1,3,.28275588
2018q2,2018,2,3,.24115118
2018q3,2018,3,3,.26356497
2018q4,2018,4,3,.25068048
1995q4,1995,4,4,.22532263
1996q1,1996,1,4,.19575004
1996q2,1996,2,4,.20824662
1996q3,1996,3,4,.22623812
1996q4,1996,4,4,.2963163
1997q1,1997,1,4,.23931658
1997q2,1997,2,4,.18725336
1997q3,1997,3,4,.21380703
1997q4,1997,4,4,.18324883
1998q1,1998,1,4,.26502356
1998q2,1998,2,4,.32049635
1998q3,1998,3,4,.23430489
1998q4,1998,4,4,.21379651
1999q1,1999,1,4,.21559356
1999q2,1999,2,4,.21041538
1999q3,1999,3,4,.29427505
1999q4,1999,4,4,.28150466
2000q1,2000,1,4,.29611802
2000q2,2000,2,4,.20584418
2000q3,2000,3,4,.22164656
2000q4,2000,4,4,.13025917
2001q1,2001,1,4,.24420984
2001q2,2001,2,4,.17760879
2001q3,2001,3,4,.22915123
2001q4,2001,4,4,.18219244
2002q1,2002,1,4,.19049768
2002q2,2002,2,4,.12051609
2002q3,2002,3,4,.20747365
2002q4,2002,4,4,.20551316
2003q1,2003,1,4,.18996565
2003q2,2003,2,4,.17344411
2003q3,2003,3,4,.16910432
2003q4,2003,4,4,.1708419
2004q1,2004,1,4,.15676588
2004q2,2004,2,4,.18813188
2004q3,2004,3,4,.23909485
2004q4,2004,4,4,.21573666
2005q1,2005,1,4,.16697147
2005q2,2005,2,4,.25403625
2005q3,2005,3,4,.18548235
2005q4,2005,4,4,.2187697
2006q1,2006,1,4,.18461861
2006q2,2006,2,4,.27818203
2006q3,2006,3,4,.24414562
2006q4,2006,4,4,.15944895
2007q1,2007,1,4,.22811809
2007q2,2007,2,4,.24024624
2007q3,2007,3,4,.16160177
2007q4,2007,4,4,.18155275
2008q1,2008,1,4,.25477231
