"","uduration","ue"
"factor(duration)0",0,0.376371832001928
"factor(duration)1",1,0.269137487980189
"factor(duration)2",2,0.240577984610624
"factor(duration)3",3,0.214783949936711
"factor(duration)4",4,0.19940654645845
"factor(duration)5",5,0.206583437871493
"factor(duration)6",6,0.193318358523667
"factor(duration)7",7,0.163091582980189
"factor(duration)8",8,0.181164065273667
"factor(duration)9",9,0.17174629820845
"factor(duration)10",10,0.130690378888885
"factor(duration)11",11,0.166409186632363
"factor(duration)12",12,0.144108159730189
"factor(duration)13",13,0.131527855273667
"factor(duration)14",14,0.129247485871493
"factor(duration)15",15,0.145058440730189
"factor(duration)16",16,0.102553800446722
"factor(duration)17",17,0.0895366214234746
"factor(duration)18",18,0.122651756249754
"factor(duration)19",19,0.118097657526516
"factor(duration)20",20,0.126633542490072
"factor(duration)21",21,0.111377258252622
"factor(duration)22",22,0.146705846535616
"factor(duration)23",23,0.101003745848677
"factor(duration)24",24,0.118925751360624
